county_ref_id,county_name,state,urban_density_category,pm25_baseline_mean,ses_index,centroid_lat,centroid_lon,patient_count
1988,Hamilton County,NC,Rural,6.09,69.0,36.080,-82.395,12
688,Warren County,IL,Suburban,10.23,69.3,42.380,-90.618,10
1716,Randolph County,NE,Small Town,8.79,49.3,42.998,-101.518,10
406,Hamilton County,GA,Small Town,6.61,63.6,30.725,-82.686,10
29,Johnson County,AL,Small Town,6.81,66.1,32.434,-86.874,10
38,Benton County,AL,Small Town,6.68,30.9,34.113,-87.622,10
1375,Pike County,MN,Small Town,8.49,63.9,47.537,-97.180,10
2589,Harrison County,TX,Small Town,8.65,76.7,29.825,-104.754,10
2111,Knox County,OH,Small Town,7.47,63.9,39.218,-80.684,10
2927,Warren County,WA,Small Town,6.89,85.5,47.950,-123.480,9
520,Warren County,GA,Suburban,8.98,10.4,31.684,-81.003,9
357,Benton County,FL,Small Town,8.16,40.0,28.556,-84.264,9
1656,Lincoln County,NE,Small Town,8.00,67.9,40.433,-96.837,9
592,Jefferson County,ID,Small Town,8.20,76.7,42.504,-111.429,9
2183,Warren County,OK,Small Town,7.69,69.9,35.956,-98.845,9
2735,Warren County,TX,Small Town,6.08,12.8,31.575,-95.623,9
627,Orange County,IL,Small Town,8.63,46.5,40.809,-91.006,8
2400,Chester County,SD,Small Town,8.82,79.2,43.430,-104.015,8
997,Madison County,KY,Small Town,6.35,43.0,38.412,-87.101,8
631,Wilson County,IL,Suburban,8.65,86.5,42.386,-88.238,8
89,Pike Borough,AK,Small Town,6.41,92.5,66.546,-160.618,8
2525,Lincoln County,TX,Small Town,8.85,30.1,32.603,-102.649,8
1557,Shelby County,MO,Rural,3.73,35.0,39.570,-91.776,8
644,Marion County,IL,Suburban,8.37,43.4,37.439,-90.933,8
2936,Polk County,WA,Small Town,7.21,90.2,48.978,-123.519,8
1474,Ross County,MS,Small Town,6.98,77.8,30.586,-88.270,8
1190,Warren County,ME,Suburban,11.50,74.4,45.205,-68.497,8
1814,Perry County,NM,Small Town,7.61,64.3,36.885,-104.254,8
3084,Madison County,WY,Suburban,10.82,76.7,42.872,-105.890,8
833,Madison County,IA,Small Town,7.60,53.9,43.276,-96.355,8
2363,Franklin County,SD,Rural,5.20,17.8,45.830,-101.487,8
2900,Jefferson County,VA,Small Town,8.33,70.2,37.786,-83.177,8
2870,Wayne County,VA,Suburban,10.73,31.3,37.542,-75.234,8
2922,Clay County,WA,Small Town,8.03,14.6,45.819,-119.700,8
2306,Randolph County,PA,Suburban,8.82,80.7,41.666,-76.803,8
574,Randolph County,ID,Small Town,8.18,42.3,47.787,-115.862,8
2872,Warren County,VA,Small Town,8.67,82.6,39.341,-79.886,8
1997,Clay County,ND,Small Town,7.65,90.4,46.890,-96.767,8
730,Ross County,IN,Small Town,8.05,47.6,39.848,-86.672,8
1969,Washington County,NC,Suburban,8.43,40.1,33.983,-77.453,8
