data_source_uuid,org_id,org_set_id,dataset_name,dataset_version,geom_type,geom_spec,boundary_type,has_attributes,geom_dependency_uuid,download_method,download_subtype,download_data_standard,download_filename,download_url,download_auth,documentation_url
7880,EPA,AQS,daily_aqi_by_county_2020,2020,,,county,1,10207,file,zip,csv,daily_aqi_by_county_2020.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2020.zip,,https://www.epa.gov/aqs
7879,EPA,AQS,daily_aqi_by_county_2019,2019,,,county,1,10196,file,zip,csv,daily_aqi_by_county_2019.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2019.zip,,https://www.epa.gov/aqs
7877,EPA,AQS,daily_aqi_by_county_2017,2017,,,county,1,10175,file,zip,csv,daily_aqi_by_county_2017.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2017.zip,,https://www.epa.gov/aqs
7876,EPA,AQS,daily_aqi_by_county_2016,2016,,,county,1,10164,file,zip,csv,daily_aqi_by_county_2016.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2016.zip,,https://www.epa.gov/aqs
7875,EPA,AQS,daily_aqi_by_county_2015,2015,,,county,1,10153,file,zip,csv,daily_aqi_by_county_2015.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,,https://www.epa.gov/aqs
7874,EPA,AQS,daily_aqi_by_county_2014,2014,,,county,1,10142,file,zip,csv,daily_aqi_by_county_2014.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2014.zip,,https://www.epa.gov/aqs
7873,EPA,AQS,daily_aqi_by_county_2013,2013,,,county,1,10131,file,zip,csv,daily_aqi_by_county_2013.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2013.zip,,https://www.epa.gov/aqs
7872,EPA,AQS,daily_aqi_by_county_2012,2012,,,county,1,10120,file,zip,csv,daily_aqi_by_county_2012.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2012.zip,,https://www.epa.gov/aqs
7871,EPA,AQS,daily_aqi_by_county_2011,2011,,,county,1,10111,file,zip,csv,daily_aqi_by_county_2011.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2011.zip,,https://www.epa.gov/aqs
8888,EPA,AQS,annual_conc_by_cbsa_2018,2018,,,cbsa,1,10184,file,zip,csv,annual_aqi_by_cbsa_2018.csv,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_cbsa_2018.zip,,https://www.epa.gov/aqs
