location_id,relationship_type_concept_id,domain_id,entity_id,start_date,end_date
1,581476,Person,1,2014-01-01,2019-12-31
2,581476,Person,2,2014-01-01,2019-12-31
3,581476,Person,3,2014-01-01,2019-12-31
8,581476,Person,8,2014-01-01,2019-12-31
9,581476,Person,9,2014-01-01,2019-12-31
12,581476,Person,12,2014-01-01,2019-12-31
13,581476,Person,13,2014-01-01,2019-12-31
14,581476,Person,14,2014-01-01,2019-12-31
15,581476,Person,15,2014-01-01,2019-12-31
16,581476,Person,16,2014-01-01,2019-12-31
17,581476,Person,17,2014-01-01,2019-12-31
18,581476,Person,18,2014-01-01,2019-12-31
19,581476,Person,19,2014-01-01,2019-12-31
21,581476,Person,21,2014-01-01,2019-12-31
22,581476,Person,22,2014-01-01,2019-12-31
25,581476,Person,25,2014-01-01,2019-12-31
27,581476,Person,27,2014-01-01,2019-12-31
28,581476,Person,28,2014-01-01,2019-12-31
32,581476,Person,32,2014-01-01,2019-12-31
34,581476,Person,34,2014-01-01,2019-12-31
35,581476,Person,35,2014-01-01,2019-12-31
37,581476,Person,37,2014-01-01,2019-12-31
38,581476,Person,38,2014-01-01,2019-12-31
41,581476,Person,41,2014-01-01,2019-12-31
42,581476,Person,42,2014-01-01,2019-12-31
44,581476,Person,44,2014-01-01,2019-12-31
45,581476,Person,45,2014-01-01,2019-12-31
53,581476,Person,53,2014-01-01,2019-12-31
54,581476,Person,54,2014-01-01,2019-12-31
58,581476,Person,58,2014-01-01,2019-12-31
60,581476,Person,60,2014-01-01,2019-12-31
63,581476,Person,63,2014-01-01,2019-12-31
64,581476,Person,64,2014-01-01,2019-12-31
65,581476,Person,65,2014-01-01,2019-12-31
66,581476,Person,66,2014-01-01,2019-12-31
67,581476,Person,67,2014-01-01,2019-12-31
69,581476,Person,69,2014-01-01,2019-12-31
73,581476,Person,73,2014-01-01,2019-12-31
74,581476,Person,74,2014-01-01,2019-12-31
77,581476,Person,77,2014-01-01,2019-12-31
89,581476,Person,89,2014-01-01,2019-12-31
93,581476,Person,93,2014-01-01,2019-12-31
95,581476,Person,95,2014-01-01,2019-12-31
96,581476,Person,96,2014-01-01,2019-12-31
97,581476,Person,97,2014-01-01,2019-12-31
98,581476,Person,98,2014-01-01,2019-12-31
99,581476,Person,99,2014-01-01,2019-12-31
100,581476,Person,100,2014-01-01,2019-12-31
101,581476,Person,101,2014-01-01,2019-12-31
102,581476,Person,102,2014-01-01,2019-12-31
103,581476,Person,103,2014-01-01,2019-12-31
104,581476,Person,104,2014-01-01,2019-12-31
105,581476,Person,105,2014-01-01,2019-12-31
106,581476,Person,106,2014-01-01,2019-12-31
108,581476,Person,108,2014-01-01,2019-12-31
111,581476,Person,111,2014-01-01,2019-12-31
112,581476,Person,112,2014-01-01,2019-12-31
117,581476,Person,117,2014-01-01,2019-12-31
119,581476,Person,119,2014-01-01,2019-12-31
121,581476,Person,121,2014-01-01,2019-12-31
122,581476,Person,122,2014-01-01,2019-12-31
124,581476,Person,124,2014-01-01,2019-12-31
126,581476,Person,126,2014-01-01,2019-12-31
127,581476,Person,127,2014-01-01,2019-12-31
132,581476,Person,132,2014-01-01,2019-12-31
133,581476,Person,133,2014-01-01,2019-12-31
135,581476,Person,135,2014-01-01,2019-12-31
136,581476,Person,136,2014-01-01,2019-12-31
137,581476,Person,137,2014-01-01,2019-12-31
138,581476,Person,138,2014-01-01,2019-12-31
139,581476,Person,139,2014-01-01,2019-12-31
140,581476,Person,140,2014-01-01,2019-12-31
141,581476,Person,141,2014-01-01,2019-12-31
144,581476,Person,144,2014-01-01,2019-12-31
146,581476,Person,146,2014-01-01,2019-12-31
178,581476,Person,178,2014-01-01,2019-12-31
179,581476,Person,179,2014-01-01,2019-12-31
181,581476,Person,181,2014-01-01,2019-12-31
182,581476,Person,182,2014-01-01,2019-12-31
183,581476,Person,183,2014-01-01,2019-12-31
185,581476,Person,185,2014-01-01,2019-12-31
187,581476,Person,187,2014-01-01,2019-12-31
188,581476,Person,188,2014-01-01,2019-12-31
189,581476,Person,189,2014-01-01,2019-12-31
190,581476,Person,190,2014-01-01,2019-12-31
193,581476,Person,193,2014-01-01,2019-12-31
199,581476,Person,199,2014-01-01,2019-12-31
200,581476,Person,200,2014-01-01,2019-12-31
204,581476,Person,204,2014-01-01,2019-12-31
211,581476,Person,211,2014-01-01,2019-12-31
215,581476,Person,215,2014-01-01,2019-12-31
219,581476,Person,219,2014-01-01,2019-12-31
220,581476,Person,220,2014-01-01,2019-12-31
221,581476,Person,221,2014-01-01,2019-12-31
222,581476,Person,222,2014-01-01,2019-12-31
223,581476,Person,223,2014-01-01,2019-12-31
224,581476,Person,224,2014-01-01,2019-12-31
225,581476,Person,225,2014-01-01,2019-12-31
226,581476,Person,226,2014-01-01,2019-12-31
227,581476,Person,227,2014-01-01,2019-12-31
229,581476,Person,229,2014-01-01,2019-12-31
230,581476,Person,230,2014-01-01,2019-12-31
232,581476,Person,232,2014-01-01,2019-12-31
233,581476,Person,233,2014-01-01,2019-12-31
235,581476,Person,235,2014-01-01,2019-12-31
238,581476,Person,238,2014-01-01,2019-12-31
240,581476,Person,240,2014-01-01,2019-12-31
241,581476,Person,241,2014-01-01,2019-12-31
244,581476,Person,244,2014-01-01,2019-12-31
245,581476,Person,245,2014-01-01,2019-12-31
247,581476,Person,247,2014-01-01,2019-12-31
248,581476,Person,248,2014-01-01,2019-12-31
251,581476,Person,251,2014-01-01,2019-12-31
255,581476,Person,255,2014-01-01,2019-12-31
256,581476,Person,256,2014-01-01,2019-12-31
258,581476,Person,258,2014-01-01,2019-12-31
261,581476,Person,261,2014-01-01,2019-12-31
265,581476,Person,265,2014-01-01,2019-12-31
266,581476,Person,266,2014-01-01,2019-12-31
268,581476,Person,268,2014-01-01,2019-12-31
