ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2052490062,2052490062,0,0
2052490063,2052490063,0,0
2052490064,2052490064,0,0
2052490065,2052490065,0,0
2052490066,2052490066,0,0
2052490067,2052490067,0,0
2052490068,2052490068,0,0
2052490069,2052490069,0,0
2052490070,2052490070,0,0
2052490071,2052490071,0,0
2052490072,2052490072,0,0
2052490073,2052490073,0,0
2052490074,2052490074,0,0
2052490075,2052490075,0,0
2052490076,2052490076,0,0
2052490077,2052490077,0,0
2052490078,2052490078,0,0
2052490079,2052490079,0,0
2052490080,2052490080,0,0
2052490081,2052490081,0,0
2052490082,2052490082,0,0
2052490083,2052490083,0,0
2052490084,2052490084,0,0
2052490085,2052490085,0,0
2052490086,2052490086,0,0
2052490087,2052490087,0,0
2052490088,2052490088,0,0
2052490089,2052490089,0,0
2052490090,2052490090,0,0
2052490091,2052490091,0,0
2052490092,2052490092,0,0
2052490093,2052490093,0,0
2052490094,2052490094,0,0
2052490095,2052490095,0,0
2052490096,2052490096,0,0
2052490097,2052490097,0,0
2052490098,2052490098,0,0
2052490099,2052490099,0,0
2052490100,2052490100,0,0
2052490101,2052490101,0,0
2052490102,2052490102,0,0
2052490103,2052490103,0,0
2052490104,2052490104,0,0
2052490105,2052490105,0,0
2052490106,2052490106,0,0
2052490107,2052490107,0,0
2052490108,2052490108,0,0
2052490109,2052490109,0,0
2052490110,2052490110,0,0
2052490111,2052490111,0,0
2052490112,2052490112,0,0
2052490113,2052490113,0,0
2052490114,2052490114,0,0
2052490115,2052490115,0,0
2052490116,2052490116,0,0
2052490117,2052490117,0,0
2052490118,2052490118,0,0
2052490119,2052490119,0,0
2052490120,2052490120,0,0
2052490121,2052490121,0,0
2052490122,2052490122,0,0
2052490123,2052490123,0,0
2052490124,2052490124,0,0
2052490125,2052490125,0,0
2052490126,2052490126,0,0
2052490127,2052490127,0,0
2052490128,2052490128,0,0
2052490129,2052490129,0,0
2052490130,2052490130,0,0
2052490131,2052490131,0,0
2052490132,2052490132,0,0
2052490133,2052490133,0,0
2052490134,2052490134,0,0
2052490135,2052490135,0,0
2052490136,2052490136,0,0
2052490137,2052490137,0,0
2052490138,2052490138,0,0
2052490139,2052490139,0,0
2052490140,2052490140,0,0
2052490141,2052490141,0,0
2052490142,2052490142,0,0
2052490143,2052490143,0,0
2052490144,2052490144,0,0
2052490145,2052490145,0,0
2052490146,2052490146,0,0
2052490147,2052490147,0,0
2052490148,2052490148,0,0
2052490149,2052490149,0,0
2052490150,2052490150,0,0
2052490151,2052490151,0,0
2052490152,2052490152,0,0
2052490153,2052490153,0,0
2052490154,2052490154,0,0
2052490155,2052490155,0,0
2052490156,2052490156,0,0
2052490157,2052490157,0,0
2052490158,2052490158,0,0
2052490159,2052490159,0,0
2052490160,2052490160,0,0
2052490161,2052490161,0,0
2052490162,2052490162,0,0
2052490163,2052490163,0,0
2052490164,2052490164,0,0
2052490165,2052490165,0,0
