concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
,Octabromobiphenyl,Observation,Toxin,Substance,S,27858-07-7,1970-01-01,2099-12-31,
,Boron phosphide,Observation,Toxin,Substance,S,20205-91-8,1970-01-01,2099-12-31,
,Azoxystrobin,Observation,Toxin,Substance,S,131860-33-8,1970-01-01,2099-12-31,
,Lotaustralin,Observation,Toxin,Substance,S,534-67-8,1970-01-01,2099-12-31,
,Carbon-14,Observation,Toxin,Substance,,14762-75-5,1970-01-01,2099-12-31,
,'2,2',3,3',4,5',6,6'-Octabromobiphenyl',Observation,Toxin,Substance,S,69887-11-2,1970-01-01,2099-12-31,
,Ethylparaben,Observation,Toxin,Substance,,120-47-8,1970-01-01,2099-12-31,
,3-tert-Butylphenyl sec-butylcarbamate,Observation,Toxin,Substance,S,97508-29-7,1970-01-01,2099-12-31,
,3-Hydroxyisovaleric acid,Observation,Toxin,Substance,,625-08-1,1970-01-01,2099-12-31,
,4-tert-Butylphenyl salicylate,Observation,Toxin,Substance,S,87-18-3,1970-01-01,2099-12-31,
,'4,4'-Methylenebis(2-chloroaniline)',Observation,Toxin,Substance,,101-14-4,1970-01-01,2099-12-31,
,Phenyl salicylate,Observation,Toxin,Substance,,118-55-8,1970-01-01,2099-12-31,
,Uranium nitride,Observation,Toxin,Substance,S,12033-83-9,1970-01-01,2099-12-31,
,Isobornyl thiocyanoacetate,Observation,Toxin,Substance,,115-31-1,1970-01-01,2099-12-31,
,'S,S,S-Tributyl phosphorotrithioate',Observation,Toxin,Substance,S,78-48-8,1970-01-01,2099-12-31,
,Dicofol,Observation,Toxin,Substance,,115-32-2,1970-01-01,2099-12-31,
,Chloroform,Observation,Toxin,Substance,,67-66-3,1970-01-01,2099-12-31,
,Gamma-terpinene,Observation,Toxin,Substance,,99-85-4,1970-01-01,2099-12-31,
,Barium chlorate,Observation,Toxin,Substance,S,13477-00-4,1970-01-01,2099-12-31,
,Hexylresorcinol,Observation,Toxin,Substance,,136-77-6,1970-01-01,2099-12-31,
,Enniatin B,Observation,Toxin,Substance,S,917-13-5,1970-01-01,2099-12-31,
,Oxytetracycline,Observation,Toxin,Substance,,79-57-2,1970-01-01,2099-12-31,
,'2,4,4'-Tribromobiphenyl',Observation,Toxin,Substance,S,6430-90-6,1970-01-01,2099-12-31,
,'1,2,4,6-Tetrachlorodibenzo-p-dioxin',Observation,Toxin,Substance,S,71669-27-7,1970-01-01,2099-12-31,
,'2,2,3-Trimethylpentane',Observation,Toxin,Substance,S,564-02-3,1970-01-01,2099-12-31,
,'2,3,4,6,7,8-Hexabromodibenzofuran',Observation,Toxin,Substance,S,161880-50-8,1970-01-01,2099-12-31,
,2-Methoxy-4-propylphenol,Observation,Toxin,Substance,S,2785-87-7,1970-01-01,2099-12-31,
,'2,7-Dichlorodibenzo-p-dioxin',Observation,Toxin,Substance,S,33857-26-0,1970-01-01,2099-12-31,
,'2,2',3,6,6'-Pentachlorobiphenyl',Observation,Toxin,Substance,S,73575-54-9,1970-01-01,2099-12-31,
,'2,2',3,3',5,5',6,6'-Octachlorobiphenyl',Observation,Toxin,Substance,S,2136-99-4,1970-01-01,2099-12-31,
,Sodium chromate,Observation,Toxin,Substance,S,7775-11-3,1970-01-01,2099-12-31,
,Barium permanganate,Observation,Toxin,Substance,S,7787-36-2,1970-01-01,2099-12-31,
,Aluminium arsenide,Observation,Toxin,Substance,S,22831-42-1,1970-01-01,2099-12-31,
,Triasulfuron,Observation,Toxin,Substance,S,82097-50-5,1970-01-01,2099-12-31,
,Janthitrem B,Observation,Toxin,Substance,S,73561-90-7,1970-01-01,2099-12-31,
,Bufotenin,Observation,Toxin,Substance,S,487-93-4,1970-01-01,2099-12-31,
,Brompheniramine,Observation,Toxin,Substance,,86-22-6,1970-01-01,2099-12-31,
,Brotizolam,Observation,Toxin,Substance,,57801-81-7,1970-01-01,2099-12-31,
,Progabide,Observation,Toxin,Substance,,62666-20-0,1970-01-01,2099-12-31,
,Levobupivacaine,Observation,Toxin,Substance,,27262-47-1,1970-01-01,2099-12-31,
,(2Z)-1-Methyl-2-(nitromethylidene)pyrrolidine,Observation,Toxin,Substance,S,26171-05-1,1970-01-01,2099-12-31,
,'2,2',3,3',4,5'-Hexachlorobiphenyl',Observation,Toxin,Substance,S,52663-66-8,1970-01-01,2099-12-31,
,Dimethylarsinate,Observation,Toxin,Substance,S,15132-04-4,1970-01-01,2099-12-31,
,Neosaxitoxin,Observation,Toxin,Substance,,64296-20-4,1970-01-01,2099-12-31,
,Linamarin,Observation,Toxin,Substance,,554-35-8,1970-01-01,2099-12-31,
,'2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl',Observation,Toxin,Substance,S,52663-79-3,1970-01-01,2099-12-31,
,'2,4,6-Trinitrotoluene',Observation,Toxin,Substance,S,118-96-7,1970-01-01,2099-12-31,
,Carbendazim,Observation,Toxin,Substance,,10605-21-7,1970-01-01,2099-12-31,
,'2,4-Dichlorobiphenyl',Observation,Toxin,Substance,S,33284-50-3,1970-01-01,2099-12-31,
,Chromium(II) chloride,Observation,Toxin,Substance,S,10049-05-5,1970-01-01,2099-12-31,
,'2,2',4,4'-Tetrabromobiphenyl',Observation,Toxin,Substance,S,66115-57-9,1970-01-01,2099-12-31,
,Oxazolam,Observation,Toxin,Substance,,24143-17-7,1970-01-01,2099-12-31,
,Exotoxin A (Pseudomonas aeruginosa),Observation,Toxin,Substance,S,OMOP5182613,1970-01-01,2099-12-31,
,Anastrozole,Observation,Toxin,Substance,,120511-73-1,1970-01-01,2099-12-31,
,Trimipramine,Observation,Toxin,Substance,,739-71-9,1970-01-01,2099-12-31,
,Avermectin B1a,Observation,Toxin,Substance,S,65195-55-3,1970-01-01,2099-12-31,
,Copper(II) sulfide,Observation,Toxin,Substance,S,1317-40-4,1970-01-01,2099-12-31,
,Sodium arsenite,Observation,Toxin,Substance,,7784-46-5,1970-01-01,2099-12-31,
,Bromodiphenhydramine,Observation,Toxin,Substance,,118-23-0,1970-01-01,2099-12-31,
,Cadmium cyclohexane-butyrate,Observation,Toxin,Substance,S,55700-14-6,1970-01-01,2099-12-31,
,Selegiline,Observation,Toxin,Substance,,14611-51-9,1970-01-01,2099-12-31,
